Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Unc5c,Ntn4,Pathway 2,235,1285,40,0,0.8545454545454545,1.0,0.9215686274509803,25,0.02603546611282993
Unc5c,Ntn4,Pathway 2,235,1285,40,0,0.8545454545454545,1.0,0.9215686274509803,50,0.026625949450777293
Unc5c,Ntn4,Pathway 2,235,1285,40,0,0.8545454545454545,1.0,0.9215686274509803,75,0.02553191489361695
Unc5c,Ntn4,Pathway 2,235,1285,40,0,0.8545454545454545,1.0,0.9215686274509803,100,0.02553191489361695
Cxcr4,Cxcl12,Pathway 3,5,1074,477,4,0.01037344398340249,0.5555555555555556,0.020366598778004074,25,0.26666666666666666
Cxcr4,Cxcl12,Pathway 3,9,1074,477,0,0.018518518518518517,1.0,0.03636363636363636,50,0.23015873015873012
Cxcr4,Cxcl12,Pathway 3,9,1074,477,0,0.018518518518518517,1.0,0.03636363636363636,75,0.2222222222222222
Cxcr4,Cxcl12,Pathway 3,9,1074,477,0,0.018518518518518517,1.0,0.03636363636363636,100,0.2222222222222222
Ackr3,Cxcl12,Pathway 3,415,757,361,27,0.5347938144329897,0.9389140271493213,0.6814449917898193,25,0.2633915579619825
Ackr3,Cxcl12,Pathway 3,442,757,361,0,0.5504358655043586,1.0,0.7100401606425703,50,0.2659647514009989
Ackr3,Cxcl12,Pathway 3,442,757,361,0,0.5504358655043586,1.0,0.7100401606425703,75,0.26696832579185364
Ackr3,Cxcl12,Pathway 3,442,757,361,0,0.5504358655043586,1.0,0.7100401606425703,100,0.26696832579185364
